"ITEM_CODE","DESCRIPTION"
"3098","Indication SPECN Plate Sticker for Emergency Window, Item No-2, Drg.No. CC 64359"
"3098","Door Window Guide Block assembly LH Drg. No: BEML/LH-13155-1 Alt-3"
"3098","Frame for Emergency Glass for Non-AC Janshatabdi and Similar type of coaches as per LLH SK. NO: 39/2004, ITEM NO: 7"
"3098","Door Window Guide Block assembly R.H Drg. No: BEML/411-13155-1. Alt.3"
"3098","Sliding Bracket Fitted with Wheel As per Sample to IS : 226."
"3098","Granite Table Top Galaxy Size: 4 x 3 "
"3098","HEAD STOCK BEAM INNER TO SK. NO. LLH-20-89, ITEM NO.-1, ALT. NO.-NIL."
"3098","HEAD STOCK BEAM TO SK. NO. LLH-13-2003, ITEM - 1, ALT. NO.-NIL."
"3098","Anti pilferage device cover sheet assembly. Drg. No. ICF/SK/5-5-024."
"3098","Hose Connector for Bio-Toilets as per Drg. No.- CG-14070, Item No.- 01, Alt. No. Latest."
"3098","BRACKET FOR BOGIE FRAME BOLSTER AND L.S.BEAM COMPONENTS FOR ICF BOGIE AS PER ANNEXURE-A."
"3098","Frosted Glass for RA/FC. Non-AC Coaches Size: 920 x 500 x 5 mm. As per drg. No. T-5-5-636"
"3098","Lock Retainer for Outer Frame for non. AC Janastabdi Coaches. As per LLH s Sk. No.- 9/2006, Alt. - Nil."
"3098","Modified catch for securing B.C.B.R. as per Sk. No.- LLH-04/2002."
"3098","Granite Table Top Galaxy Size : 4 x 3 "
"3098","Lock for Sliding Glass Shutter for Janasatabdi Coaches.As per Sk. No. LLH-14/2005"
"3098","Housing for Centre Pivot for Bogie Bolster to ICF Drg. No.- ICF Sk. No.- T-0-4-042, Item-1, Alt.-h/2 or similar."
"3098","SET OF SEALED WINDOW GLASS UNIT FOR OBSERVATION ROOM CONSISTING OF 02 TWO ITEMS AS PER ANNEXURE ATTACHED"
"3098","Handle for IRS design 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item No.- 9, Alt.- 5."
"3098","SPINDLE for IRS Design : 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item-6, Alt.-5."
"3098","Kit for Bath Room Fittings of RA Type Saloon Car Consisting of 04 Four Items. 1 Set consisting of each items 1 One No. as per annexure attached."
"3098","ARRANGEMENT OF LITTERBIN BELOW OUTSIDE WASHBASIN AS PER RCF DRG.NO.-M1006365 ALT NO.-NIL AND RDSO S SPECN. NO. C-K513 [REV-0 OF DEC 2005] WITH ALL 5 AMENDMENTS [LAST AMENDMENT SLIP NO. 5 ISSUED ON SEPT 2015] FOR ITEM NO. 10. WITH SUPPLY AND FITMENT."
"3098","MOUNTING BRACKET ON INNER HEAD STOCK FOR IR-DRDO BIOLOGICAL TOILET TANK.AS PER DRG. NO.CG-15033."
"3098","Glass Shutter as per Drg. No.- WFC-5-4-001, Item No.- 18."
"3098","Louver Shutter with net as per Drg. No.- WFC-5-4-001, Item No.- 17."
"3098","Modified Hydraulic door closer. Size- 250x80x80 cm, Material: Aluminium. Make with model No. Godrej c071 / Stanley SGDC505 / Quba QDC 40 "
"3098","Sampling Cock with Ball Valve arrangement Size : 25 mm. Bore with 01 One No. Hex Nipple Size : Dia 25 mm. x 50 mm. Mat. AISI - 304. make : AXCON, Model No.- CF 8 or Similar."
"3098","SPINDLE for IRS Design : 20 mm. Isolating Cock Ball Type to RDSO s Drg. No.- Sk.-97003, Item-6, Alt.-5."
"3098","Bulb Type Split Cotter 1 to Drg. No.- WD-94068-S/1, Item - 1"
"3098","Bulb Type Split Cotter 2 to Drg. No.- WD-94068-S/1, Item - 2"
"3098","Table Arm For A.C. Chair Car Type - 1 Sk.No.- LLH : 11/2015."
"3098","Modified Catch for securing B.C.B.R. as per Sk. No.- LLH-04/2002."
"3098","1 POH Kit for M/s. SIL make Levelling Valve as per Annexure - I 04 Nos./Set. 2 POH Kit for M/s. SIL make Duplex Check Valve as per Annexure - II 02 Nos./Set."
"3098","Modified Hydraulic door closer. Size- 250x80x80 cm, Material: Aluminium. Make with model No. Godrej c071 / Stanley SGDC505 / Quba QDC 40 "
"3098","Fixing Rubber Profile with key as per Drg. No.- ICF/VNR-5-4-202."
"3098","Stopper as per RDSO Drg. No.- CG-K 7045."
"3098","Strap Assembly as per Drg. No.- AE-61698."
"3098","Non Inflammable High Strength Glass Wool Composite material for Non AC Coach. LV Window Structure. As per Drg. No.- ICF Sk. 5-5-030 Only Dimension "
"3098","SLR Observation Glass On end Wall of RCF Coaches, Size : 800 mm. x 560 mm. x 6.38 mm. as per RCF Drg. No.- LB-54105, Alt.- Nil."
"3098","Granite Table Top GALAXY , Size : 8 x 2 . Supply and installation with polishing "
"3098","Frame for Emergency Glass for Non-AC Janshatabdi and Similar Type of Copy as per LLH Sk. No.- 39/2004.Item no-7."
"3098","Securing Bracket for SS Wire Rope Welded on Inner Head Stock to Drg. No.- CG 15034, Alt. No.- Nil, Item No.- 2."
"3098","Brackets on U/F for mounting of DRDF BIO-TOILET TANK as per Drg.No. CG-15036, Alt-1, Item No.8"
"3098","Set of Protection Cover for Drain Cock Assembly consisting of 02 Two Nos. Item as per annexure attached. Item No. 1 - 01 No. Item No. 2 - 01 No."
"3098","Set of Catch of Snack Table, Drg. No.- Sk.No.- LLH.23/2010 consisting of four 04 items :- i Fig - A, It.- 1 to 6 200 Nos. ii Fig - B, It.- 7 to 11 300 Nos. iii Fig - C, It.- 12 to 14 200 Nos. iv Fig - D, It.- 15 to 18 200 Nos."
"3098","Indication Plate Sticker for Emergency Window, Item No.- 2, Drg. No.- CC-64359."
"3098","Glass Shutter as per Drg. No.- WFC-5-4-001, Item No.- 03 ."
"3098","Louver Shutter with net as per Drg. No.- WFC-5-4-001, Item No.- 02."
"3098","BRACKET FOR ANCHOR LINK ON BOGIE FRAME FOR BALTED DESIGN TO DRG. NO. T-0-3-680 ITEM-1,2,3,4 and 5 ALT.- NIL OR LATEST"
"3098","Rubber Profile As per sample Minimum Length 20 Mtrs. or its multiple."
"3098","Head stock complete with 8 mm Outer Head Stock to SK.NO.LLH-12/2003 Alt.No.nil."
"3098","Door Stop Rubber as per Drg. No.- C/CF-311 with M-6 M.S. Plain Washer Galvanised ."
"3098","Rail Wheel Arrangement for Pantry Sliding Door Without Aluminium Channel as per Sk.No.- 08/Nos. consisting of Item No.- 1 and 3 to 5."
"3098","Louver Shutter with net as per Drg. No.- WFC-5-4-001, Item No.- 02."
"3098","Glass Shutter as per Drg. No.- WFC-5-4-001, Item No.- 03 ."
"3098","Stopper Assembly for Transverse Back rest to ACCN Coaches. Drg. No.- AE 61468, Alt.- B."
"3098","Modified hydraulic door closer. Size:- 250x 80x 80 CM, Material: aluminium. Make with model No. Godrej CO71 / Stanley SGDC50S / Quba QDC-40 "
"3098","Catch arrangement for Back Rest. Drg. No.- AE-61519, Alt.- C."
"3098","Screwing piece. Drg. No. CG-15036 Alt. No.-3. Item No.-8"
"3098","Catch arrangement for conductor s berth, Drg. No. CC 61297."
"3098","Modified hydraulic door closer. Size:- 250x 80x 80 CM, Material: aluminium. Make with model No. Godrej CO71 / Stanley SGDC50S / Quba QDC-40 or similar."
"3098","LOCK FOR SLIDING GLASS SHUTTER FOR JANASATABDI COACHES AS PER SK NO. LLH 1412005"
