DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY,REST
Drg.No CC 64359 ,No,SPECN No-2 ,,,,,,,,Indication Plate Sticker Emergency Window Item 
Drg No BEML/LH-13155-1 ,No,,,,,Alt-3 ,,,,Door Window Guide Block assembly LH 
,No,,ITEM NO 7 ,,SK NO 39/2004 ,,,,,Frame Emergency Janshatabdi Similar type coaches per LLH 
Drg No BEML/411-13155-1 ,No,,,,,Alt.3 ,,,,Door Window Guide Block 
,No,,,,,,,IS 226 ,,Sliding Bracket Fitted Wheel As per Sample 
,No,,,,,,,Size 4 x 3 ,,Granite Table Top Galaxy 
,No,,ITEM NO.-1 ,,,ALT NO.-NIL ,,NO 20 NO 89 ,,HEAD STOCK BEAM INNER TO SK 
,No,,,,,ALT NO.-NIL ,,NO 13 NO 2003 ITEM 1 ,,HEAD STOCK BEAM TO SK 
Drg No ICF/SK/5-5-024 ,No,,,,,,,,,Anti pilferage device cover sheet assembly 
Drg No.- CG-14070 ,No,,Item No.- 01 ,,,Alt No Latest ,,,,Hose per 
,No,,,,,,,,,BRACKET FOR BOGIE FRAME BOLSTER COMPONENTS FOR ICF BOGIE AS 
drg No T-5-5-636 ,No,,,,,,,Size 920 x 500 x 5 ,,Frosted Coaches x As per 
,No,,,,,Alt Nil ,,No.- 9 No.- 2006 ,,Lock Retainer Outer Frame non AC Janastabdi Coaches As per LLH 
,No,,,,,,,No.- 04 No.- 2002 ,,Modified catch per 
,No,,,,,,,Size 4 x 3 ,,Granite Table Top Galaxy 
,No,,,,,,,No 14 No 2005 ,,Lock Sliding Glass Shutter per Sk 
Drg No.- ICF Sk No.- T-0-4-042 ,No,,,,,Alt.-h/2 ,,ICF 1 ,,Housing Centre Pivot Bogie Bolster similar 
,No,,,,,,,OF 02 ,,SET SEALED WINDOW GLASS UNIT FOR OBSERVATION ROOM CONSISTING OF TWO ITEMS AS PER ANNEXURE ATTACHED 
Drg No.- Sk.-97003 ,No,,Item No.- 9 ,,,Alt.- 5 ,,design 20 ,,Handle IRS Isolating Cock Ball Type RDSO 
Drg No.- Sk.-97003 ,No,,,,,Alt.-5 ,,Design 20 RDSO 6 ,,SPINDLE IRS Isolating Cock Ball Type 
