UNIT *,PRODUCT CODE,DESCRIPTION,SPECIFICATION
,,,
3,60000002,REPAIRABLE TROLLY,
24,60000014,BRAKE LEVER HANGER BRACKET AS PER WC03103 ALT'NIL',
24,60000026,BRACKET ASSY. FOR ANCHOR LINK FOR MEMU/TC BOGIES AS PER ET03188 ALT. 'NIL',
24,60000038,BRACKET AS PER WC03111 ALT. NIL,
24,60000040,BOGIE FRAME ARRANGEMENTFOR 16T EOG BMBC AS PER AZ03103 ALT. NIL,
24,60000051,COLLAR-FINISH MACHINED FOR MOTOR COACHES WITH FUJI TYPE TRACTION MOTOR AS PER DMU/DPC5-0-2-503 ALT.'A',
24,60000063,MACHINING & ASSEMBLING TO MAKE  WHEEL SET COMPLETE FOR MEMU/DMC BOGIE WITH FUJI TRACTION MOTOR AS PER DMU/DPC5-0-2-504 COL.II ALT.'E',
5,60000075,RING COMPENSATING T00 602/09,
5,60000087,COMPENSATING RING ( BOL ) 12 X ? 310 / ? 210,SPECIFICATION : AS PER DRG.
5,60000099,"COMPENSATING RING FOR PRIMARY SUSPENSION, SIZE ?250 X ?180 X 12MM,","MAT.SPEC- IS: 2062/2011, GRADE E250 CU QUALITY-C OR LATEST."
15,60000099,RACK IN EMERGENCY EQUIPMENT ROOM IN GAURD COMPARTMENT TO DRG. NO. SK.K 0014 ALT-2 COMPLETE ASSEMBLY.,
5,60000105,"SET OF COMPENSATING RINGS OF  A C BOGIE,","IRS  IS: 2062, FE 410 CU WC."
5,60000117,COMPENSATING RING FOR (BOL)12 X ?285 X ? 200,MAT. SPEC- IS: 2062:2011E 250 QUALITY-C.
14,60000129,"COMPENSATING RING FOR BOGIE BOLSTER SUSPENSION, DRG. NO.IRS C/BE-5026, 12MM THICK, SPECN. NO.IS-2062, 330 X 330 MM LONG EACH ., FOR BG ICF COACHES","SPECN. NO.IS-2062, 330 X 330 MM LONG EACH"
1,60000130,"COMPENSENTING RING TO RCF DRG. NO. CC-01140' ALT-F, ITEM NO. 1.  MATERIAL AND SPECIFICATION AS PER DRAWING.",
16,60000142,"COMPENSATING RING OD-250 MM,ID-174 MM & 5 MM THICK FOR AXLE BOX ARRANGEMENT TO DRG. NO.-",
