DRG._NUMBER,ALT_NUMBER,SPEC_NUMBER,ITEM_NUMBER,AMENDMENT_NO,SK_NUMBER,QUANTITY,REV_NUMBER,REST_DATA
Drg.No CC 64359 ,,SPECN No-2 ,,,,,,Indication Plate Sticker Emergency Window Item 
Drg No BEML/LH-13155-1 ,Alt-3 ,,,,,,,Door Window Guide Block assembly LH 
,,,ITEM NO 7 ,,SK NO 39/2004 ,,,Frame Emergency Glass Non-AC Janshatabdi Similar type coaches per LLH 
Drg No BEML/411-13155-1 ,Alt.3 ,,,,,,,Door Window Guide Block assembly R.H 
,,,,,,,,Sliding Bracket Fitted Wheel As per Sample IS 226 
,,,,,,,,Granite Table Top Galaxy Size 4 x 3 
,ALT NO.-NIL ,,ITEM NO.-1 ,,SK NO LLH-20-89 ,,,HEAD STOCK BEAM INNER TO 
,ALT NO.-NIL ,,,,SK NO LLH-13-2003 ,,,HEAD STOCK BEAM TO ITEM 1 
Drg No ICF/SK/5-5-024 ,,,,,,,,Anti pilferage device cover sheet assembly 
Drg No.- CG-14070 ,Alt No Latest ,,Item No.- 01 ,,,,,Hose Connector Bio-Toilets per 
,,,,,,,,BRACKET FOR BOGIE FRAME BOLSTER AND L.S.BEAM COMPONENTS FOR ICF BOGIE AS PER ANNEXURE-A 
drg No T-5-5-636 ,,,,,,,,Frosted Glass RA/FC Non-AC Coaches Size 920 x 500 x 5 As per 
,Alt Nil ,,,,Sk No.- 9/2006 ,,,Lock Retainer Outer Frame non AC Janastabdi Coaches As per LLH 
,,,,,Sk No.- LLH-04/2002 ,,,Modified catch securing B.C.B.R per 
,,,,,,,,Granite Table Top Galaxy Size 4 x 3 
,,,,,Sk No LLH-14/2005 ,,,Lock Sliding Glass Shutter Janasatabdi Coaches.As per 
Drg No.- ICF Sk No.- T-0-4-042 ,Alt.-h/2 ,,,,,,,Housing Centre Pivot Bogie Bolster ICF Item-1 similar 
