DESCRIPTION,REST,DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY
"Indication SPECN Plate Sticker for Emergency Window, Item No-2, Drg.No. CC 64359",Indication Plate Sticker Emergency Window Item ,Drg.No CC 64359 ,No,SPECN No-2 ,,,,,,,
Door Window Guide Block assembly LH Drg. No: BEML/LH-13155-1 Alt-3,Door Window Guide Block assembly LH ,Drg No BEML/LH-13155-1 ,No,,,,,Alt-3 ,,,
"Frame for Emergency Glass for Non-AC Janshatabdi and Similar type of coaches as per LLH SK. NO: 39/2004, ITEM NO: 7",Frame Emergency Janshatabdi Similar type coaches per LLH ,,No,,ITEM NO 7 ,,SK NO 39/2004 ,,,,
Door Window Guide Block assembly R.H Drg. No: BEML/411-13155-1. Alt.3,Door Window Guide Block ,Drg No BEML/411-13155-1 ,No,,,,,Alt.3 ,,,
Sliding Bracket Fitted with Wheel As per Sample to IS : 226.,Sliding Bracket Fitted Wheel As per Sample ,,No,,,,,,,IS 226 ,
Granite Table Top Galaxy Size: 4 x 3 ,Granite Table Top Galaxy ,,No,,,,,,,Size 4 x 3 ,
"HEAD STOCK BEAM INNER TO SK. NO. LLH-20-89, ITEM NO.-1, ALT. NO.-NIL.",HEAD STOCK BEAM INNER TO SK ,,No,,ITEM NO.-1 ,,,ALT NO.-NIL ,,NO 20 NO 89 ,
"HEAD STOCK BEAM TO SK. NO. LLH-13-2003, ITEM - 1, ALT. NO.-NIL.",HEAD STOCK BEAM TO SK ,,No,,,,,ALT NO.-NIL ,,NO 13 NO 2003 ITEM 1 ,
Anti pilferage device cover sheet assembly. Drg. No. ICF/SK/5-5-024.,Anti pilferage device cover sheet assembly ,Drg No ICF/SK/5-5-024 ,No,,,,,,,,
"Hose Connector for Bio-Toilets as per Drg. No.- CG-14070, Item No.- 01, Alt. No. Latest.",Hose per ,Drg No.- CG-14070 ,No,,Item No.- 01 ,,,Alt No Latest ,,,
BRACKET FOR BOGIE FRAME BOLSTER AND L.S.BEAM COMPONENTS FOR ICF BOGIE AS PER ANNEXURE-A.,BRACKET FOR BOGIE FRAME BOLSTER COMPONENTS FOR ICF BOGIE AS ,,No,,,,,,,,
Frosted Glass for RA/FC. Non-AC Coaches Size: 920 x 500 x 5 mm. As per drg. No. T-5-5-636,Frosted Coaches x As per ,drg No T-5-5-636 ,No,,,,,,,Size 920 x 500 x 5 ,
"Lock Retainer for Outer Frame for non. AC Janastabdi Coaches. As per LLH s Sk. No.- 9/2006, Alt. - Nil.",Lock Retainer Outer Frame non AC Janastabdi Coaches As per LLH ,,No,,,,,Alt Nil ,,No.- 9 No.- 2006 ,
Modified catch for securing B.C.B.R. as per Sk. No.- LLH-04/2002.,Modified catch per ,,No,,,,,,,No.- 04 No.- 2002 ,
Granite Table Top Galaxy Size : 4 x 3 ,Granite Table Top Galaxy ,,No,,,,,,,Size 4 x 3 ,
Lock for Sliding Glass Shutter for Janasatabdi Coaches.As per Sk. No. LLH-14/2005,Lock Sliding Glass Shutter per Sk ,,No,,,,,,,No 14 No 2005 ,
"Housing for Centre Pivot for Bogie Bolster to ICF Drg. No.- ICF Sk. No.- T-0-4-042, Item-1, Alt.-h/2 or similar.",Housing Centre Pivot Bogie Bolster similar ,Drg No.- ICF Sk No.- T-0-4-042 ,No,,,,,Alt.-h/2 ,,ICF 1 ,
