ZONECODE,ITEM_CODE,DESCRIPTION,ITEM_SPECIFICATION
16,3044,PLASTIC SEAT AND COVER ASSEMBLY COMPLETE TO SUIT PORCELAIN COMMODE TO DRG NO.-,
4,3097,Air reservinor of 40 hrs.m cap,
9,300032,BOLT HEX HEAD TAIL END,L/BT 11 M
9,300184,BLT CHS HD TY-DI 32DIAX298MM,L/BT47/M WG
9,301371,BOLT HEX HD FD,
9,302612,BOLT CHEESE HEAD TAIL END,L/BT 262/M
9,303458,BLT CHS HD TY-D2 12DIAX40 MM,L/BT400/M IS226
9,304207,BOLT CSK HEX HEAD TYPE-B,IS-226
9,307063,BOLT 1.1/8 INCH DIA WITH NUT,E/SL 127/19 ITZ
9,307075,BOLT 3/8 DIAX2.1/2 INCH LONG,E/SL 127/96 ITM
9,307087,BOLT 1 DIAX5.3/4 INCH LONG,E/SL 127/64 ITG
9,307099,BOLT 1 DIAX5.1/2 INCH LONG,E/SL 127/64 ITH
9,307117,BOLT 3/4 D FOR ELBOW STM PIPE,E/SL 127/65 ITB
9,307130,"BOLT,TURNED,LONGER,BOGIE,POVIT",
9,307142,BOLT 3/8 BSWX3.1/8 INCH LONG,CSL 2068 IT B
9,307154,BOLT 1/4 DIA WITH NUT,MS 549
9,307180,BOLT TURHED HEX HEAD 32 HHE/SL,-6.402555911
9,307208,BOLT M/C HEX HD 1.1/16 DIA,CME DRG MS 309
9,307210,BOLT FOR FIRE DOOR,2317 B/M
9,307245,BOLT M/C HEX HD 1.1/16 DIA,CME DRG MS 309
9,307269,BOLT M/C HEX HD 59/64 DIA,CME DRG MS 309
9,307282,BOLT M/C HEX HD 15/16 DIA,CME DRG MS 309
9,307294,BOLT M/C HEX HD 29/32 DIA,CME DRG MS 309
9,307336,BOLT M/C HEX HD 1.1/32 DIA,CME DRG MS 309
9,307348,BOLT M/C HEX HD 1.3/64 DIA,CME DRG MS 309
9,307361,BOLT M/C HEX HD 1.1/16 DIA,CME DRG MS 309
9,307397,BOLT M/C HEX HD 15/16 DIA,CME DRG MS 309
9,307403,BOLT ADJUSTMENT,E/SL 126305 I15
9,307415,BOLT WITH NUT,L/BT 11
9,307439,BOLT STRAIGHT WITH NUT,E/SL 126167 ITG
9,307440,BOLT H H M 24 X 120 MM,
9,307452,BOLT STRAIGHT WITH NUT,E/SL 126167 ITH
9,307464,BOLT STRAIGHT WITH NUT,E/SL 126167 ITJ
9,307476,BLT TRND HEXHD FOR BK ROD WP,E/SL-127/19FIGY
9,307488,ECCENTRIC BOLT CSK 5/8 INCH,E/SL 127197 ITO
9,307555,BOLT HEX HEAD FOR FRAME,
9,307579,BOLT HEX HD FOR CYLINDER,
9,307580,BOLT HEX HD FOR CYL 1.1/4,
9,307671,BLT WDGE ADJSTG FOR WP&WG LOCO,LEH-1743M ALT-2
9,307683,BLT WDGE ADJSTG FOR ASBLY WPWG,LEH-1741M ALT-3
9,307750,BOLT FACE LINER CW A B WP WG,
5,3010016,Axle box ldg int&trg wheel part,
9,3010740,PLATE END FD YP YG,L/AB/536 M
9,3010867,COMTAINER GREESE COMPLETE,L AB 539 M
9,3010983,CONTAINER GREASE COMPLETE,
9,3011100,AXLE BOX BRONZE,L/AB-629/X
9,3011148,A/C Closed.,
9,3011549,SPRING SADDLE SEAT M S,L/AB-655/M
9,3011586,FOLLOWER PLATE SPRING,L/AB-664
9,3012062,AXLE BOX FINISHED,L/AB-694/B/M
9,3012943,PLATE FOLLOWER & SPRING-AJAX,LA/AB-165/M
9,3013406,PLATE MEAR COMP FRT TRUCK AXLE,
9,3014502,A/C Closed.,
9,3017060,BOX AXLE WITH ROLLER,JNEI/92-4197/A
9,3017096,KEEP S  FD.,L/AB-530/M
9,3017308,INTEGRAL BEARING & FACE LINER,500/A/X/YP-T/MA
9,3018817,A/C Closed.,
9,3020800,ROLLER BEARING AXLE BOX COMPLETE,
9,3040033,BUCKLES MS SPG COUPLED WHEEL,L/SN-652/M
9,3040057,BUCKLES MS SPG PONEY TRUCK,L/SN-654/M
9,3040070,BUCKLES M.S. SPRING BOGIE,L/SN-656/M
9,3040161,SPRING LAMINATED WASHER BEARG,L/SN-691/M
9,3040197,HANGERS M.S. SPRING,L/SN-705
9,3040288,LINK SPRING FINISHED,L/SN-706/M
9,3040343,COTTER FINISHED SPRING GEAR,L/SN-707/M
9,3040409,COTTER FD SPRING GEAR,L/SN-707/X2/M
9,3040410,COTTER FOR COUPLED SPG. LINK,L/SN-707/X3/M
9,3040586,BUCKLE SPRING HIND TRUCK,L/SN-710/M
9,3040616,BUCKLES MS BEARING SPG.T-BOGIE,L/SN-711/M
9,3040677,WASHERS BEARING FD T-BOGIE SPG,L/SN-718/M
9,3040707,WASHERS BEARING FD.T-BOGIE SPG,L/SN-718/X2&X2M
9,3041645,WASHER BEARING FD,
9,3042248,SEAT SPG END BOTTOM HIND TRUCK,L/SN-6121/M
9,3042704,SPG BEARING LAMINATED ENGINE,LA SN 153
9,3042881,SPG BEARING LMNTD RADICAL 11P,LA SN 168 M
9,3043009,A/C Closed.,
9,3043964,HANGER FD L H SPG GEAR,ESL 205 205 E
9,3044245,GIBS FD.TRG.TRUCK SPG.HANGER,E/SL-216/205-CL
9,3044300,HANGER FD SPRING GEAR,E/SL-216-205-E
9,3044348,HANGER FD.RH.SPRING GEAR,E/SL-216/205-G
9,3047039,SEAT SPRING TOP H.FD,7/YP-106/H
9,3047143,"HANGER COUP VL,YG,FRT T-SPRING",LPN-2395
9,3047246,SEAT SPRING BOTTOM S-FD,L/SN-6121/M
9,3047283,SEAT SPRING FD,207/YP-F
9,3047301,SPACER FD YP TENDER BOGIE,L/SN-58/A
9,3047325,STOP FD,L/SN-6164M
9,3047337,WASHER BEARING FINISHED,L/SN-141/A
9,3047349,WASHER BEARING FINISHED,L/SN-140/A
9,3047350,WASHER BEARING FINISHED,L/SN-142/A
9,3050014,TYRES MG DRG NO/L/TX-351/R,L/TY-351/R
9,3050051,"TYRE YL COUPLED WHEEL,L/TY/362",L/TY/-362/R  YL
9,3050105,TYRES STEEL COUPLED WHEEL,L TY 363 61
9,3050208,TYRES STEEL COUPLED WHEEL,L TY 365 R M
9,3050300,RATIONALISED TYRES,L TY 381 RM
9,3060019,"WASHER FD,BRAKE GEAR PIN.",L/WL 116/M
9,3060354,PIN CRANK S FD. LEADING.,L/WL 617/B/X
9,3060809,PIN CRANK SEMI FD  TRAILING,L/WL-620/B/X/M
9,3060901,COTTER FINISHED LEADING CRANK,L/WL-621/M
9,3060950,BOLT STEEL LEADING CRANK PIN,L/WL-622
9,3061656,ANTE STEEL ROUGH FOR YP YG TEN,L WL 716 R
9,3061759,AXLE STEEL ROUGH,L/WL-719/R
9,3062004,ANTE STEEL ROUGH,L WL 727 RM
9,3062107,ANTE STEEL COUPLE WHEEL EXEPT,L WL 734 R M
9,3062200,ANTE STEEL FOR YP YG HIND TRUC,L WL 752 R M
9,3062351,AXLE STEEL,L WL 760 R WTA
9,3063409,PIN CRANK SEMI FD,L/WL-7594/B/X
9,3064426,KNOB FD  DRIVING RETURN CRANK,E/SL-216-166/J
9,3067051,"LINER HUB FD YP,YG DRUG WHEEL",LMK-2045-1
9,3067063,LINER HUB FINISHED,L/MK-2091/2/M
9,3067075,PIN CRANK S FD  R H & L H,L/WL-74/X/A
9,3070050,LEVER FINISHED SAND BOX,L/SG-650
9,3070104,BODY VALVE FINISHED SAND BOX,L/SG-654/M
9,3070153,VALVE FNSHD SAND BOX SPINDLE,L/SG-655/M
9,3070207,LAID FINISHED SAND BOX,L/SG-880/M
9,3070359,SUPPORT MS SAND PIPE LH&RH,"L/SG-6013,6014M"
9,3070803,SUPPRT FD SANDING GEAR PIPILH,
9,3070906,SUPPORT FD.SANDING GEAR PIPERH,L/SG-6042/M
3,30000002,REPAIRABLE TROLLY,
24,30000014,BRAKE LEVER HANGER BRACKET as per WC03103 ALT'NIL',
24,30000026,BRACKET ASSY. FOR ANCHOR LINK FOR MEMU/TC BOGIES as per ET03188 ALT. 'NIL',
24,30000038,BRACKET as per WC03111 ALT. NIL,
24,30000040,BOGIE FRAME ARRANGEMENTFOR 16T EOG BMBC as per AZ03103 ALT. NIL,
24,30000051,COLLAR-FINISH MACHINED FOR MOTOR COACHES WITH FUJI TYPE TRACTION MOTOR as per DMU/DPC5-0-2-503 ALT.'a',
24,30000063,MACHINING & ASSEMBLING TO MAKE  WHEEL SET COMPLETE FOR MEMU/DMC BOGIE WITH FUJI TRACTION MOTOR as per DMU/DPC5-0-2-504 COL.II ALT.'e',
5,30000075,Ring Compensating T00 602/09,
5,30000087,Compensating Ring ( BOL ) 12 x ? 310 / ? 210,Specification : As per drg.
5,30000099,"Compensating Ring for Primary Suspension, Size ?250 x ?180 x 12mm,","Mat.Spec- IS: 2062/2011, Grade E250 cu Quality-c or latest."
15,30000099,Rack in emergency equipment room in gaurd compartment to Drg. No. SK.K 0014 alt-2 complete assembly.,
5,30000105,"Set of compensating Rings of  A C Bogie,","IRS  IS: 2062, Fe 410 Cu Wc."
5,30000117,Compensating Ring for (BOL)12 x ?285 x ? 200,Mat. Spec- IS: 2062:2011E 250 Quality-C.
14,30000129,"Compensating Ring for Bogie Bolster suspension, Drg. no.IRS C/BE-5026, 12mm thick, Specn. no.IS-2062, 330 X 330 mm long each ., For BG ICF Coaches","Specn. no.IS-2062, 330 X 330 mm long each"
16,30000142,"Compensating ring OD-250 mm,ID-174 mm & 5 mm thick for Axle box arrangement to Drg. No.-",
1,30000166,"HEX HEAD SCREW M 20 X 1.5 X 40, TO ICF DRG. NO. ICF/SK3-0-2-005, ALT-NIL, ITEM NO. 3. MTRL. AND SPECN. AS PER DRG.",
3,30007010,NUMBER PLATE,
27,30007010,NUMBER PLATE FOR BOGIES BUILT IN RCF,
24,30007010,NUMBER PLATE FOR BOGIES BUILT IN RCF as per AS PER DRG.NO.CC00102 ALT `A',
24,30010015,SET OF AXLE BOX GUIDE ARRT. WITH CAPSULE TYPE SHOCK ABSORBER as per MPLCAPTSA VERSION 01,
24,30010026,SET OF A.B. GUIDE ARRT. WITH CAPSULE TYPE SHOCK ABSORBER (RUBBER ITEM) as per MPLCTSARI VERSION 0,
24,30010037,MODIFIED LOWER SPRING SEAT FOR CAPSULE TYPE SHOCK ABSORBER as per CC01243 ALT. 'C',
24,30010048,SOLID FORGED WHEEL FOR EMU as per RDSO SK-K4004 ALT. '3',
24,30010059,SPACER as per CC01244 ITEM 6 ALT. 'd',
24,30010060,MACHINING AND ASSLY. OF WHEEL & AXLE COMPLETE FOR MG COACHES as per MG/T-0-2-012 ALT. 'wR',
13,30010070,HELICAL SPRING FOR AXLE BOX OF DMU Coaches,IS 3196-92 SICR-430 V
24,30010070,HELICAL SPRING FOR AXLE BOX OF CARRIER COACH BOGIE OF MBIV as per DMU/DPC-0-1-001 ALT.'g',
24,30010081,"WHEEL AND AXLE ASSY. (WITH FORGED WHEELS) FOR DIRECT MOUNTED ROLLER BEARING ARRGT. as per CG-K6016 Alt.'1', FORGED WHEEL TO SPEC.NO.IRS-R-19/93 (PART II)",
24,30010093,WHEEL SOLID FORGED (ROUGH TURNED)  FOR 13T & 16T BOGIES as per W/WL-1660/R ALT.'12',
24,30010100,"SOLID WHEEL CAST ( ROUGH TURNED) as per W/WL-1660/R ALT. '12' (AS PER RDSO L.NO.MC/WAP/TRL DT:08/11.04.11, CAST WHEELS PERMITTED UP TO110 KMPH)",
13,30010111,"AXLE BOX HOUSING TO ICF DRG. NO.T-0-2-602 WITH Alt.- u/14, Item No.2 . MATERIAL  AND SPECIFICATION  AS PER  RDSO SPECIFICATION NO. RDSO/2007/CG-08  AMENDMENT SLIP NO.1 OF JULY 2009.",
9,30010111,"Axle Box Housing Finish machined as per   ICF Drg.No.T-0-2-602, Sheet 1 & 2,Alt.u/14.  Item No.2. Conforming to RDSO Specn. No.RDSO-2007-CG-08,Amend.Slip No.1 of  July 2009.",T02602
