SPEC_NUMBER,SK_NUMBER,AMENDMENT_NO,DRG._NUMBER,QUANTITY,ITEM_NUMBER,ALT_NUMBER,REV_NUMBER,DRAWING_ATTACHED,OTHER_SPECIFICATION,REST_DATA
SPECN No-2 ,,,Drg.No CC 64359 ,,,,,No,,Indication Plate Sticker Emergency Window Item 
,,,Drg No BEML/LH-13155-1 ,,,Alt-3 ,,No,,Door Window Guide Block assembly LH 
,SK NO 39/2004 ,,,,ITEM NO 7 ,,,No,,Frame Emergency Janshatabdi Similar type coaches per LLH 
,,,Drg No BEML/411-13155-1 ,,,Alt.3 ,,No,,Door Window Guide Block 
,,,,,,,,No,IS 226 ,Sliding Bracket Fitted Wheel As per Sample 
,,,,,,,,No,Size 4 x 3 ,Granite Table Top Galaxy 
,SK NO LLH-20-89 ,,,,ITEM NO.-1 ,ALT NO.-NIL ,,No,,HEAD STOCK BEAM INNER TO 
,SK NO LLH-13-2003 ,,,,,ALT NO.-NIL ,,No,ITEM 1 ,HEAD STOCK BEAM TO 
,SK/5-5-024 ,,Drg No ICF/,,,,,No,assembly 5 assembly 5 assembly 024 ,Anti pilferage device cover sheet 
,,,Drg No.- CG-14070 ,,Item No.- 01 ,Alt No Latest ,,No,,Hose per 
,,,,,,,,No,,BRACKET FOR BOGIE FRAME BOLSTER COMPONENTS FOR ICF BOGIE AS 
,,,drg No T-5-5-636 ,,,,,No,Size 920 x 500 x 5 ,Frosted Coaches x As per 
,Sk No.- 9/2006 ,,,,,Alt Nil ,,No,,Lock Retainer Outer Frame non AC Janastabdi Coaches As per LLH 
,Sk No.- LLH-04/2002 ,,,,,,,No,,Modified catch per 
,,,,,,,,No,Size 4 x 3 ,Granite Table Top Galaxy 
,Sk No LLH-14/2005 ,,,,,,,No,,Lock Sliding Glass Shutter per 
,Sk No.- T-0-4-042 ,,Drg No.- ICF Sk No.-,,,Alt.-h/2 ,,No,ICF 0 ICF 4 ICF 042 T-0-4-042 1 ,Housing Centre Pivot Bogie Bolster similar 
,,,,,,,,No,OF 02 ,SET SEALED WINDOW GLASS UNIT FOR OBSERVATION ROOM CONSISTING OF TWO ITEMS AS PER ANNEXURE ATTACHED 
,Sk.-97003 ,,Drg No.- Sk.-97003 It,,,Alt.- 5 ,,No,design 20 No.- 9 ,Handle IRS Isolating Cock Ball Type RDSO 
,Sk.-97003 ,,Drg No.- Sk.-970,,,Alt.-5 ,,No,Design 20 RDSO 03 03 6 ,SPINDLE IRS Isolating Cock Ball Type 
,,,,,,,,No,Consisting 04 Items 1 items 1 ,Kit Bath Room Fittings RA Type Saloon Car Four Set consisting 1 One No per annexure attached 
SPECN C-K513 ,,AMENDMENTS [ LAST AMENDMENT SLIP NO 5 ,DRG.NO.-M1006365 ,,,ALT NO.-NIL AND RDSO S NO ,REV-0 ,No,,ARRANGEMENT OF LITTERBIN BELOW OUTSIDE WASHBASIN AS PER RCF 
,,,DRG NO.CG-15033 ,,,,,No,,MOUNTING BRACKET ON INNER HEAD STOCK BIOLOGICAL PER 
,,,Drg No.- WFC-5-4-001 ,,Item No.- 18 ,,,No,,Glass Shutter per 
,,,Drg No.- WFC-5-4-001 ,,Item No.- 17 ,,,No,,Louver Shutter net per 
,,,,,,,,No,Size- 250 Size- 80 Size- 80 Godrej 071 Stanley 505 QDC 40 ,Modified Hydraulic door Material Aluminium Make model No Quba 
,,,,,,,,No,Size 25 Bore 01 Dia 25 x 50 AISI 304 CF 8 ,Sampling Cock Ball Valve arrangement One No Hex Nipple Size 25 Mat make AXCON Similar 
,Sk.-97003 ,,Drg No.- Sk.-970,,,Alt.-5 ,,No,Design 20 RDSO 03 03 6 ,SPINDLE IRS Isolating Cock Ball Type 
,,,Drg No.- WD-94068-,,,,,No,Cotter 1 1 1 Item 1 ,Bulb Type Split 1 
,,,Drg No.- WD-94068-,,,,,No,Cotter 2 2 1 Item 2 ,Bulb Type Split 2 
,Sk.No.- LLH 11/2015 ,,,,,,,No,Type 1 ,Table Arm Chair Car 
,Sk No.- LLH-04/2002 ,,,,,,,No,,Modified Catch per 
,,,,,,,,No,Nos./Set 1 I 04 Nos./Set 2 II 02 ,POH SIL make Levelling Valve per Annexure POH Kit M/s SIL make Duplex Check Valve per Annexure Nos./Set 
,,,,,,,,No,Size- 250 Size- 80 Size- 80 Godrej 071 Stanley 505 QDC 40 ,Modified Hydraulic door Material Aluminium Make model No Quba 
,,,Drg No.- ICF/VNR-5-4-202 ,,,,,No,,Fixing Rubber Profile key per 
,,,Drg No.- CG-K 7045 ,,,,,No,,Stopper per RDSO 
,,,Drg No.- AE-61698 ,,,,,No,,Strap Assembly per 
,Sk 5-5-030 ,,Drg No.- ICF Sk 5-5-030 Only,,,,,No,,Non Inflammable High Strength Glass Wool Composite material Non AC Coach LV Window Structure As per Dimension 
,,,Drg No.- LB-54105 ,,,Alt.- Nil ,,No,Size 800 x 560 x 6.38 ,SLR Observation Glass On end Wall RCF Coaches x per RCF 
,,,,,,,,No,Size 8 x 2 ,Granite Table Top GALAXY Supply installation polishing 
,Sk No.- 39/2004.,,,,Item no-7 ,,,No,,Frame Emergency Janshatabdi Similar Type Copy per LLH 
,,,Drg No.- CG 15034 ,,Item No.- 2 ,Alt No.- Nil ,,No,,Securing Bracket SS Wire Rope Welded Inner Head Stock 
,,,Drg.No CG-15036 ,,Item No.8 ,Alt-1 ,,No,,mounting TANK per 
,,,,,Item No 1 01 ,,,No,consisting 02 No 2 2 01 ,Set Protection Cover Drain Cock Assembly Two Nos Item per annexure attached Item No No 
,Sk.No.- LLH.23/2010 ,,Drg No.- Sk.No.- LLH.23/2010,,,,,No,four 04 It.- 1 1 6 6 200 It.- 7 7 11 11 300 It.- 12 12 14 14 200 It.- 15 15 18 18 200 ,Set Catch Snack Table consisting items Fig Nos ii Fig It.- Nos iii Fig It.- 200 Nos iv Fig It.- 200 Nos 
,,,Drg No.- CC-64359 ,,Item No.- 2 ,,,No,,Indication Plate Sticker Emergency Window 
,,,Drg No.- WFC-5-4-001 ,,Item No.- 03 ,,,No,,Glass Shutter per 
,,,Drg No.- WFC-5-4-001 ,,Item No.- 02 ,,,No,,Louver Shutter net per 
,,,DRG NO T-0-3-680 ,,,"ALTED DESIGN TO ITEM-1,2,3,4 5 ",,No,,BRACKET ANCHOR LINK ON BOGIE FRAME FOR NIL OR LATEST 
,,,,,,,,No,Length 20 ,Rubber Profile As per sample Minimum Mtrs multiple 
,SK.NO.LLH-12/2003 ,,,,,Alt.No.nil ,,No,complete 8 ,Head stock Outer Head Stock 
,,,Drg No.- C/CF-311 ,,,,,No,per 6 ,Door Stop Rubber Plain Washer Galvanised 
,Sk.No.- 08/,,,,Item No.- 1 3 5 ,,,No,,Rail Wheel Arrangement Pantry Sliding Door Without Aluminium Channel per Nos consisting 
,,,Drg No.- WFC-5-4-001 ,,Item No.- 02 ,,,No,,Louver Shutter net per 
,,,Drg No.- WFC-5-4-001 ,,Item No.- 03 ,,,No,,Glass Shutter per 
,,,Drg No.- 61468 ,,,Alt.- B ,,No,,Stopper Assembly Transverse Back rest ACCN Coaches 
,,,,,,,,No,Size 250 250x 80 80x 80 Godrej 71 Stanley 50 Quba 40 ,Modified hydraulic door closer CM Material aluminium Make model No 
,,,Drg No.- AE-61519 ,,,Alt.- C ,,No,,Catch arrangement Back Rest 
,,,Drg No CG-15036 ,,Item No.-8 ,Alt No.-3 ,,No,,Screwing piece 
,,,Drg No CC 61297 ,,,,,No,,Catch arrangement conductor berth 
,,,,,,,,No,Size 250 250x 80 80x 80 Godrej 71 Stanley 50 Quba 40 ,Modified hydraulic door closer CM Material aluminium Make model No similar 
,SK NO LLH 1412005 ,,,,,,,No,,LOCK FOR SLIDING GLASS SHUTTER FOR JANASATABDI COACHES AS PER 
,Sk No.- 04/2002 ,,,,,,,No,,Modified Catch per LLH 
,Sk.-97003 ,,Drg No.- Sk.-97003 It,,,Alt.- 5 ,,No,design 20 No.- 9 ,Handle IRS Isolating Cock Ball Type RDSO 
,Sk.No.- LLH-04/2002 ,,,,,,,No,,Modified Catch per 
,Sk.-K-3008 ,,Drg.No.- RDSO ,,,,,No,Plate 3008 ,Buffer Spring Parting 
,,,Drg.No.- CG15034 ,,Item No.- 2 ,Alt.No.- NIL ,,No,,Securing Wire Rope Welded inner head stock 
,Sk.No.-LLH-08/,,,,Item No.- 1 3 5 ,,,No,,Rail Wheel Arrangement Pantry Sliding Door Without Aluminium Channel per Nos consisting 
,,,,,,,,No,make 3 Pt.No.- 501004200 comprising 48 Pt.No.- 790501126 No.- 30986369 ,Rubber items FTRTIL Pt.No.- per annexure atached 
,Sk.-97003 ,,Drg No.- Sk.-97003 It,,,Alt.- 5 ,,No,design 20 No.- 9 ,Handle IRS Isolating Cock Ball Type RDSO 
,,,,,Item No.1 ,,,No,consisting 02 Toilet 41493 MDTS-41493 04 Item .2 Wire 08 ,Set pf Spares Retention Tank Two items Clutch Type mechanism Remain Inside Nos Per Set Clutch Wire Nos Per Set 
,,,Drg No.- WD-94068-,,,,,No,Cotter 1 1 1 Item 1 ,Bulb Type Split 1 
,,,Drg No.- WD-94068-,,,,,No,Cotter 2 2 1 Item 2 ,Bulb Type Split 2 
,,,drg CG- 15033 ,,,,,Yes,,Mounting bracket inner head Logical Toilet tank per Drawing attached 
